year,m,pilgrims,women,%,men,%,<30,%,30-60,%,>60,%,frances,%,port.,%,norte,%,prim.,%,ingles,%,plata,%,finis.,%,Spain,%,Italy,%,Germany,%,US,%,Portugal,%,France,%,UK,%,Ireland,%,Canada,%,Holland,%,Korea,%,Brazil,%,Austria,%,Poland,%,Belgium,%,Australia,%,Japan,%,Swiss,%,Mexico,%,Argentina,%,Denmark,%,China,%,Finland,%,Czech,%,Hungary,%,Venezuela,%
2015,all,262459,123530,47.1,138929,52.9,74691,28.5,144031,54.9,43737,16.7,172206,65.6,43137,16.4,15826,6.0,11471,4.4,9247,3.5,9221,3.5,758,0.3,122387,46.6,22148,8.4,18869,7.2,13669,5.2,12481,4.8,9912,3.8,5417,2.1,5367,2.0,4199,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2014,all,237886,109386,46.0,128500,54.0,67348,28.3,131764,55.4,38774,16.3,161994,68.1,35491,14.9,15071,6.3,8275,3.5,7194,3.0,8490,3.6,652,0.3,113624,47.8,20241,8.5,16345,6.9,11577,4.9,11655,4.9,9345,3.9,4395,1.8,5020,2.1,0,0.0,0,0.0,3840,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,all,215880,98007,45.4,117873,54.6,61114,28.3,121305,56.2,33461,15.5,151761,70.3,29550,13.7,13393,6.2,6854,3.2,4404,2.0,9016,4.2,454,0.2,105891,49.1,15621,7.2,16203,7.5,10125,4.7,10698,5.0,8305,3.8,4207,1.9,5012,2.3,3373,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2012,all,192488,83678,43.5,108810,56.5,54731,28.4,109309,56.8,28448,14.8,134978,70.1,25628,13.3,12920,6.7,6349,3.3,3577,1.9,8163,4.2,417,0.2,95274,49.5,12404,6.4,15621,8.1,7071,3.7,10329,5.4,8121,4.2,3758,2.0,3844,2.0,0,0.0,3015,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,all,183366,77534,42.3,105832,57.7,52142,28.4,105736,57.7,25488,13.9,132652,72.3,22062,12.0,11729,6.4,5544,3.0,2720,1.5,8061,4.4,202,0.1,98985,54.0,12023,6.6,16385,8.9,3670,2.0,8559,4.7,8047,4.4,2351,1.3,2641,1.4,0,0.0,2375,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2010,all,272412,120756,44.3,151656,55.7,79918,29.3,158464,58.2,34030,12.5,189271,69.5,34251,12.6,17929,6.6,7727,2.8,6464,2.4,14251,5.2,1797,0.7,189908,69.7,13963,5.1,14241,5.2,3241,1.2,7668,2.8,8961,3.3,0,0.0,2254,0.8,0,0.0,2046,0.8,0,0.0,2072,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2009,all,145878,59934,41.1,85944,58.9,44418,30.4,82908,56.8,18552,12.7,113004,77.5,11952,8.2,8988,6.2,3391,2.3,1792,1.2,6254,4.3,76,0.1,78902,54.1,10340,7.1,14789,10.1,2540,1.7,4855,3.3,7459,5.1,0,0.0,0,0.0,2194,1.5,1916,1.3,0,0.0,0,0.0,1995,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2008,all,125141,52205,41.7,72936,58.3,36626,29.3,71451,57.1,17064,13.6,98729,78.9,9770,7.8,6964,5.6,2719,2.2,1451,1.2,5104,4.1,104,0.1,60992,48.7,10707,8.6,15746,12.6,2214,1.8,4341,3.5,6618,5.3,0,0.0,0,0.0,1933,1.5,1864,1.5,0,0.0,0,0.0,1847,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2007,all,114026,47246,41.4,66780,58.6,34561,30.3,64569,56.6,14896,13.1,91872,80.6,8110,7.1,5817,5.1,2569,2.3,1085,1.0,4193,3.7,179,0.2,55326,48.5,10275,9.0,13837,12.1,2229,2.0,4001,3.5,6982,6.1,1696,1.5,0,0.0,1850,1.6,0,0.0,0,0.0,0,0.0,1686,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,all,100377,40961,40.8,59416,59.2,32706,32.6,55791,55.6,11880,11.8,82407,82.1,6466,6.4,5259,5.2,1588,1.6,804,0.8,3523,3.5,115,0.1,52211,52.0,10013,10.0,8097,8.1,1909,1.9,3365,3.4,6791,6.8,1541,1.5,0,0.0,1546,1.5,1633,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,all,93924,38218,40.7,55706,59.3,30217,32.2,53294,56.7,10413,11.1,79396,84.5,5507,5.9,3843,4.1,1028,1.1,651,0.7,3140,3.3,107,0.1,52881,56.3,7429,7.9,7155,7.6,2047,2.2,2572,2.7,5909,6.3,1512,1.6,0,0.0,0,0.0,1610,1.7,0,0.0,0,0.0,1470,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2004,all,179944,79513,44.2,100431,55.8,66783,37.1,98600,54.8,14561,8.1,138646,77.0,15838,8.8,7117,4.0,4876,2.7,3092,1.7,9309,5.2,280,0.2,137502,76.4,7638,4.2,6791,3.8,2016,1.1,3241,1.8,6527,3.6,1416,0.8,0,0.0,0,0.0,1388,0.8,0,0.0,1433,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
,,,,,,,,,
2016,1,1304,411,31.5,893,68.5,419,32.1,802,61.5,83,6.4,862,66.1,217,16.6,45,3.5,66,5.1,60,4.6,43,3.3,8,0.6,579,44.4,86,6.6,60,4.6,50,3.8,69,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,170,13.0,44,3.4,0,0.0,19,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,1.5,0,0.0,0,0.0,0,0.0,0,0.0
2015,1,1217,434,35.7,783,64.3,421,34.6,743,61.1,53,4.4,847,69.6,215,17.7,18,1.5,15,1.2,51,4.2,45,3.7,9,0.7,493,40.5,80,6.6,52,4.3,65,5.3,69,5.7,20,1.6,0,0.0,0,0.0,0,0.0,0,0.0,202,16.6,29,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.7,0,0.0,0,0.0
2014,1,906,310,34.2,596,65.8,333,36.8,511,56.4,62,6.8,609,67.2,136,15.0,43,4.7,58,6.4,32,3.5,25,2.8,1,0.1,416,45.9,69,7.6,22,2.4,29,3.2,49,5.4,18,2.0,0,0.0,0,0.0,0,0.0,0,0.0,120,13.2,22,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2013,1,806,247,30.6,559,69.4,248,30.8,512,63.5,46,5.7,562,69.7,120,14.9,36,4.5,14,1.7,21,2.6,45,5.6,5,0.6,390,48.4,31,3.8,35,4.3,30,3.7,47,5.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,118,14.6,19,2.4,0,0.0,0,0.0,0,0.0,16,2.0,14,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
